[INFO] [1790296040.869854559] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790296040.870654891] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790296040.871488582] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790296040.872419557] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790296040.873262542] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790296061.547404624] [sage_target_localizer]: Person 3D | pixel=(391.8,803.8) | position=(1.69,4.11,0.00) | range=4.06 m
[INFO] [1790296061.642091973] [sage_target_localizer]: Person 3D | pixel=(391.8,803.8) | position=(1.69,4.11,0.00) | range=4.06 m
[INFO] [1790296061.743872603] [sage_target_localizer]: Person 3D | pixel=(406.6,788.9) | position=(1.73,4.21,0.00) | range=4.18 m
[INFO] [1790296061.847229254] [sage_target_localizer]: Person 3D | pixel=(406.6,788.9) | position=(1.73,4.21,0.00) | range=4.18 m
[INFO] [1790296061.947301341] [sage_target_localizer]: Person 3D | pixel=(417.4,783.8) | position=(1.70,4.20,0.00) | range=4.16 m
[INFO] [1790296062.044163684] [sage_target_localizer]: Person 3D | pixel=(417.4,783.8) | position=(1.70,4.20,0.00) | range=4.16 m
[INFO] [1790296062.142213190] [sage_target_localizer]: Person 3D | pixel=(417.4,783.8) | position=(1.70,4.20,0.00) | range=4.16 m
[INFO] [1790296062.243200665] [sage_target_localizer]: Person 3D | pixel=(421.9,773.9) | position=(1.71,4.23,0.00) | range=4.23 m
[INFO] [1790296062.344242855] [sage_target_localizer]: Person 3D | pixel=(421.9,773.9) | position=(1.71,4.23,0.00) | range=4.23 m
[INFO] [1790296062.443100621] [sage_target_localizer]: Person 3D | pixel=(425.5,766.3) | position=(1.71,4.23,0.00) | range=4.26 m
[INFO] [1790296062.543228692] [sage_target_localizer]: Person 3D | pixel=(425.5,766.3) | position=(1.71,4.23,0.00) | range=4.26 m
[INFO] [1790296062.646673743] [sage_target_localizer]: Person 3D | pixel=(425.5,766.3) | position=(1.71,4.23,0.00) | range=4.26 m
[INFO] [1790296062.742057032] [sage_target_localizer]: Person 3D | pixel=(425.5,766.3) | position=(1.71,4.23,0.00) | range=4.26 m
[INFO] [1790296062.848280815] [sage_target_localizer]: Person 3D | pixel=(425.5,766.3) | position=(1.71,4.23,0.00) | range=4.26 m
[INFO] [1790296062.941972183] [sage_target_localizer]: Person 3D | pixel=(425.5,766.3) | position=(1.71,4.23,0.00) | range=4.26 m
[INFO] [1790296063.046129808] [sage_target_localizer]: Person 3D | pixel=(418.9,756.1) | position=(1.79,4.10,0.00) | range=4.27 m
[INFO] [1790296063.142658430] [sage_target_localizer]: Person 3D | pixel=(418.9,756.1) | position=(1.79,4.10,0.00) | range=4.27 m
[INFO] [1790296063.242239111] [sage_target_localizer]: Person 3D | pixel=(418.9,756.1) | position=(1.79,4.10,0.00) | range=4.27 m
[INFO] [1790296063.343360189] [sage_target_localizer]: Person 3D | pixel=(418.9,756.1) | position=(1.79,4.10,0.00) | range=4.27 m
[INFO] [1790296063.442287128] [sage_target_localizer]: Person 3D | pixel=(418.9,756.1) | position=(1.79,4.10,0.00) | range=4.27 m
[INFO] [1790296063.548421641] [sage_target_localizer]: Person 3D | pixel=(418.9,756.1) | position=(1.79,4.10,0.00) | range=4.27 m
[INFO] [1790296063.644613821] [sage_target_localizer]: Person 3D | pixel=(397.7,753.8) | position=(1.89,4.03,0.00) | range=4.33 m
[INFO] [1790296063.742114892] [sage_target_localizer]: Person 3D | pixel=(397.7,753.8) | position=(1.89,4.03,0.00) | range=4.33 m
[INFO] [1790296063.843647638] [sage_target_localizer]: Person 3D | pixel=(397.7,753.8) | position=(1.89,4.03,0.00) | range=4.33 m
[INFO] [1790296063.948364780] [sage_target_localizer]: Person 3D | pixel=(397.7,753.8) | position=(1.89,4.03,0.00) | range=4.33 m
[INFO] [1790296064.043178509] [sage_target_localizer]: Person 3D | pixel=(397.7,753.8) | position=(1.89,4.03,0.00) | range=4.33 m
[INFO] [1790296064.145684830] [sage_target_localizer]: Person 3D | pixel=(397.7,753.8) | position=(1.89,4.03,0.00) | range=4.33 m
[INFO] [1790296064.246194561] [sage_target_localizer]: Person 3D | pixel=(368.4,759.4) | position=(1.92,3.93,0.00) | range=4.32 m
[INFO] [1790296064.348634215] [sage_target_localizer]: Person 3D | pixel=(368.4,759.4) | position=(1.92,3.93,0.00) | range=4.32 m
[INFO] [1790296064.442924540] [sage_target_localizer]: Person 3D | pixel=(368.4,759.4) | position=(1.92,3.93,0.00) | range=4.32 m
[INFO] [1790296064.544136895] [sage_target_localizer]: Person 3D | pixel=(368.4,759.4) | position=(1.92,3.93,0.00) | range=4.32 m
[INFO] [1790296064.645962818] [sage_target_localizer]: Person 3D | pixel=(368.4,759.4) | position=(1.92,3.93,0.00) | range=4.32 m
[INFO] [1790296064.744721794] [sage_target_localizer]: Person 3D | pixel=(368.4,759.4) | position=(1.92,3.93,0.00) | range=4.32 m
[INFO] [1790296064.845334863] [sage_target_localizer]: Person 3D | pixel=(357.1,770.8) | position=(1.85,3.87,0.00) | range=4.26 m
[INFO] [1790296064.948308479] [sage_target_localizer]: Person 3D | pixel=(355.2,771.5) | position=(1.84,3.91,0.00) | range=4.29 m
[INFO] [1790296065.042225700] [sage_target_localizer]: Person 3D | pixel=(355.2,771.5) | position=(1.84,3.91,0.00) | range=4.29 m
[INFO] [1790296065.147410536] [sage_target_localizer]: Person 3D | pixel=(353.9,774.2) | position=(1.82,3.90,0.00) | range=4.27 m
[INFO] [1790296065.242107918] [sage_target_localizer]: Person 3D | pixel=(353.9,774.2) | position=(1.82,3.90,0.00) | range=4.27 m
[INFO] [1790296065.345474372] [sage_target_localizer]: Person 3D | pixel=(352.9,776.5) | position=(1.79,3.92,0.00) | range=4.27 m
[INFO] [1790296065.446407979] [sage_target_localizer]: Person 3D | pixel=(352.9,776.5) | position=(1.79,3.92,0.00) | range=4.27 m
[INFO] [1790296065.549468424] [sage_target_localizer]: Person 3D | pixel=(351.9,781.5) | position=(1.74,3.90,0.00) | range=4.22 m
